,userCode,userFileName,experimentName,sourceurl,response1,response2,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime,age,gender
64,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,kifak--undefined,,kifak,25,undefined,threeTrialsAgoTest.ejs,2,no,,,EIV,Mon+Oct+10+2016+17%3A26%3A01+GMT-0400+(EDT),,
65,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,zab,26,25,ek,1,no,yes,none,EIV,Mon+Oct+10+2016+17%3A26%3A01+GMT-0400+(EDT),,
66,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,dapus,27,59,ro,2,yes,no,none,EIV,Mon+Oct+10+2016+17%3A26%3A01+GMT-0400+(EDT),,
67,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,pof,28,20,ek,1,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A26%3A02+GMT-0400+(EDT),,
68,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,bezosh,29,58,ro,2,yes,no,none,EIV,Mon+Oct+10+2016+17%3A26%3A02+GMT-0400+(EDT),,
69,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,kifak,30,62,ro,2,no,no,none,EIV,Mon+Oct+10+2016+17%3A26%3A02+GMT-0400+(EDT),,
70,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,fikash,31,57,ro,2,yes,no,none,EIV,Mon+Oct+10+2016+17%3A26%3A03+GMT-0400+(EDT),,
71,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,dezosh,32,38,ro,2,yes,no,none,EIV,Mon+Oct+10+2016+17%3A26%3A03+GMT-0400+(EDT),,
72,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,shes--undefined,,shes,33,undefined,threeTrialsAgoTest.ejs,1,yes,,,EIV,Mon+Oct+10+2016+17%3A26%3A03+GMT-0400+(EDT),,
73,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,zot,34,22,ek,1,no,yes,none,EIV,Mon+Oct+10+2016+17%3A26%3A04+GMT-0400+(EDT),,
74,EVG642,642,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,tusud,35,43,ro,2,no,no,none,EIV,Mon+Oct+10+2016+17%3A26%3A04+GMT-0400+(EDT),,
75,TNF643,643,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,voguvek-ek-ro,Continue--undefined,voguv,1,26,mytest.ejs,2,yes,yes,none,EIV,Mon+Oct+10+2016+17%3A26%3A42+GMT-0400+(EDT),,
76,TNF643,643,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,bivek-ek-ro,Continue--undefined,biv,2,54,mytest.ejs,1,yes,no,none,EIV,Mon+Oct+10+2016+17%3A26%3A46+GMT-0400+(EDT),,
77,,,,,,,,,,,,,,,,,,
